accion,tiempo_ns
firma,2861700
firma,1021200
cifrar_tabla_(simetrico),3538600
cifrar_tabla_(asimetrico),218300
verificacion,277200
cifrar_tabla_(simetrico),217800
cifrar_tabla_(asimetrico),217800
verificacion,207200
firma,1377000
cifrar_tabla_(simetrico),181400
cifrar_tabla_(asimetrico),184900
verificacion,273700
firma,853900
cifrar_tabla_(simetrico),203900
cifrar_tabla_(asimetrico),197600
verificacion,207700
firma,1180300
cifrar_tabla_(simetrico),239300
cifrar_tabla_(asimetrico),188800
verificacion,202800
firma,893000
cifrar_tabla_(simetrico),199500
cifrar_tabla_(asimetrico),148000
verificacion,294600
firma,949200
cifrar_tabla_(simetrico),182900
cifrar_tabla_(asimetrico),154000
verificacion,276900
firma,1756200
cifrar_tabla_(simetrico),207800
cifrar_tabla_(asimetrico),145100
verificacion,208100
firma,429100
cifrar_tabla_(simetrico),170100
cifrar_tabla_(asimetrico),172500
verificacion,202800
firma,316800
cifrar_tabla_(simetrico),197500
cifrar_tabla_(asimetrico),139500
verificacion,267800
firma,393200
cifrar_tabla_(simetrico),207000
cifrar_tabla_(asimetrico),257500
verificacion,897800
firma,530100
cifrar_tabla_(simetrico),134800
cifrar_tabla_(asimetrico),109200
verificacion,239200
firma,1639100
cifrar_tabla_(simetrico),104600
cifrar_tabla_(asimetrico),131700
firma,300400
verificacion,225200
cifrar_tabla_(simetrico),143700
cifrar_tabla_(asimetrico),93300
verificacion,132300
firma,310000
cifrar_tabla_(simetrico),173600
cifrar_tabla_(asimetrico),114400
verificacion,116400
firma,239000
cifrar_tabla_(simetrico),101500
cifrar_tabla_(asimetrico),82500
verificacion,171600
