accion,tiempo_ns
firma,4158900
firma,1921700
cifrar_tabla_(simetrico),2720600
cifrar_tabla_(simetrico),2721600
firma,1271300
cifrar_tabla_(simetrico),223500
cifrar_tabla_(asimetrico),161906600
cifrar_tabla_(asimetrico),162407200
cifrar_tabla_(asimetrico),196000
verificacion,220700
verificacion,241700
verificacion,258500
firma,1137400
cifrar_tabla_(simetrico),237500
firma,558100
cifrar_tabla_(simetrico),153000
cifrar_tabla_(asimetrico),126800
verificacion,205300
firma,1742800
cifrar_tabla_(asimetrico),168762200
firma,959800
cifrar_tabla_(simetrico),252200
cifrar_tabla_(asimetrico),139200
verificacion,180000
verificacion,176600
cifrar_tabla_(simetrico),152600
cifrar_tabla_(asimetrico),167500
verificacion,205300
firma,1293800
firma,1013400
cifrar_tabla_(simetrico),218700
cifrar_tabla_(asimetrico),145500
verificacion,143100
cifrar_tabla_(simetrico),148400
cifrar_tabla_(asimetrico),131500
verificacion,143600
firma,1412700
cifrar_tabla_(simetrico),155600
cifrar_tabla_(asimetrico),151100
verificacion,187100
firma,1250700
firma,1482400
firma,52628500
cifrar_tabla_(simetrico),150100
cifrar_tabla_(asimetrico),123300
cifrar_tabla_(simetrico),154100
cifrar_tabla_(asimetrico),114100
verificacion,159500
cifrar_tabla_(simetrico),178300
cifrar_tabla_(asimetrico),143900
verificacion,84372300
firma,1151600
firma,1409100
cifrar_tabla_(simetrico),163400
cifrar_tabla_(asimetrico),141500
verificacion,209200
verificacion,267200
firma,1461500
cifrar_tabla_(simetrico),225300
cifrar_tabla_(asimetrico),141600
verificacion,183100
cifrar_tabla_(simetrico),158400
cifrar_tabla_(asimetrico),156300
verificacion,162400
firma,1097800
cifrar_tabla_(simetrico),161400
cifrar_tabla_(asimetrico),131100
verificacion,189300
firma,1219400
cifrar_tabla_(simetrico),143800
cifrar_tabla_(asimetrico),118800
verificacion,221500
firma,37718100
firma,1070000
cifrar_tabla_(simetrico),160800
cifrar_tabla_(asimetrico),142200
verificacion,161500
cifrar_tabla_(simetrico),121300
cifrar_tabla_(asimetrico),132700
verificacion,173500
firma,1190500
cifrar_tabla_(simetrico),165800
cifrar_tabla_(asimetrico),157100
verificacion,181300
firma,1373700
cifrar_tabla_(simetrico),177400
cifrar_tabla_(asimetrico),180200
firma,1283600
firma,1464300
cifrar_tabla_(simetrico),139900
cifrar_tabla_(asimetrico),133200
verificacion,154300
cifrar_tabla_(simetrico),162800
cifrar_tabla_(asimetrico),150100
verificacion,206800
verificacion,59711100
firma,1258000
cifrar_tabla_(simetrico),191700
cifrar_tabla_(asimetrico),149500
verificacion,167800
firma,1068200
cifrar_tabla_(simetrico),172400
cifrar_tabla_(asimetrico),130400
verificacion,195400
firma,1085900
cifrar_tabla_(simetrico),287400
cifrar_tabla_(asimetrico),141300
verificacion,172600
firma,1140000
cifrar_tabla_(simetrico),320100
cifrar_tabla_(asimetrico),161700
verificacion,143700
firma,1093000
cifrar_tabla_(simetrico),149600
cifrar_tabla_(asimetrico),136600
verificacion,150200
firma,938000
cifrar_tabla_(simetrico),169700
cifrar_tabla_(asimetrico),154500
verificacion,162200
firma,1164100
cifrar_tabla_(simetrico),171900
cifrar_tabla_(asimetrico),164600
verificacion,217200
firma,1076700
cifrar_tabla_(simetrico),174700
cifrar_tabla_(asimetrico),202800
verificacion,166300
firma,967800
cifrar_tabla_(simetrico),11251100
cifrar_tabla_(asimetrico),153800
verificacion,157500
firma,1009000
firma,1118900
cifrar_tabla_(simetrico),148400
cifrar_tabla_(asimetrico),133300
verificacion,156800
firma,952000
cifrar_tabla_(simetrico),260700
cifrar_tabla_(asimetrico),148800
verificacion,164900
cifrar_tabla_(simetrico),114500
cifrar_tabla_(asimetrico),115800
verificacion,157900
firma,1063000
cifrar_tabla_(simetrico),153500
cifrar_tabla_(asimetrico),128900
verificacion,181900
firma,1712800
cifrar_tabla_(simetrico),150700
cifrar_tabla_(asimetrico),157000
verificacion,161400
firma,1002000
cifrar_tabla_(simetrico),153500
cifrar_tabla_(asimetrico),176800
verificacion,165900
firma,1155700
cifrar_tabla_(simetrico),163900
cifrar_tabla_(asimetrico),122300
verificacion,183400
firma,1153900
cifrar_tabla_(simetrico),175700
cifrar_tabla_(asimetrico),135500
verificacion,157200
firma,1210900
cifrar_tabla_(simetrico),217300
cifrar_tabla_(asimetrico),138500
verificacion,181500
firma,1177700
firma,21380400
cifrar_tabla_(simetrico),170000
cifrar_tabla_(asimetrico),143900
verificacion,262500
cifrar_tabla_(simetrico),170700
cifrar_tabla_(asimetrico),168400
verificacion,185300
firma,2361400
cifrar_tabla_(simetrico),271500
cifrar_tabla_(asimetrico),146600
verificacion,239800
firma,1298100
cifrar_tabla_(simetrico),130000
cifrar_tabla_(asimetrico),145900
verificacion,177000
firma,1376300
cifrar_tabla_(simetrico),187100
cifrar_tabla_(asimetrico),176400
verificacion,157700
firma,1054700
firma,561400
cifrar_tabla_(simetrico),136900
cifrar_tabla_(asimetrico),162100
verificacion,373900
cifrar_tabla_(simetrico),113000
cifrar_tabla_(asimetrico),155600
verificacion,142300
firma,572700
cifrar_tabla_(simetrico),305600
cifrar_tabla_(asimetrico),125700
verificacion,164500
firma,543300
firma,531300
cifrar_tabla_(simetrico),155000
cifrar_tabla_(asimetrico),121400
cifrar_tabla_(simetrico),121500
verificacion,132500
cifrar_tabla_(asimetrico),140000
verificacion,108900
firma,1856500
cifrar_tabla_(simetrico),172600
cifrar_tabla_(asimetrico),100800
verificacion,176800
firma,589900
cifrar_tabla_(simetrico),163800
cifrar_tabla_(asimetrico),131900
firma,602500
verificacion,107700
cifrar_tabla_(simetrico),212400
cifrar_tabla_(asimetrico),143800
verificacion,155000
firma,512700
firma,752100
cifrar_tabla_(simetrico),237600
cifrar_tabla_(asimetrico),143000
verificacion,115000
cifrar_tabla_(simetrico),61000
cifrar_tabla_(asimetrico),141000
verificacion,63000
firma,355100
cifrar_tabla_(simetrico),74600
cifrar_tabla_(asimetrico),84400
verificacion,144800
firma,325100
cifrar_tabla_(simetrico),80100
cifrar_tabla_(asimetrico),82000
verificacion,98000
firma,345900
cifrar_tabla_(simetrico),95700
cifrar_tabla_(asimetrico),137400
verificacion,123700
firma,548700
cifrar_tabla_(simetrico),91500
cifrar_tabla_(asimetrico),87100
verificacion,87300
firma,370500
cifrar_tabla_(simetrico),62800
cifrar_tabla_(asimetrico),66800
verificacion,88300
firma,265600
cifrar_tabla_(simetrico),55600
cifrar_tabla_(asimetrico),79400
verificacion,57000
firma,264100
cifrar_tabla_(simetrico),56700
cifrar_tabla_(asimetrico),49900
verificacion,63300
