accion,tiempo_ns
firma,2599800
cifrar_tabla_(simetrico),2824500
cifrar_tabla_(asimetrico),321900
verificacion,383500
firma,828300
cifrar_tabla_(simetrico),150600
cifrar_tabla_(asimetrico),163600
verificacion,163900
firma,396000
cifrar_tabla_(simetrico),164400
cifrar_tabla_(asimetrico),170400
verificacion,165500
firma,1719600
cifrar_tabla_(simetrico),130100
cifrar_tabla_(asimetrico),124500
verificacion,275700
firma,517900
cifrar_tabla_(simetrico),248900
cifrar_tabla_(asimetrico),210200
verificacion,161700
firma,394700
cifrar_tabla_(simetrico),159300
cifrar_tabla_(asimetrico),150700
verificacion,190400
firma,426500
cifrar_tabla_(simetrico),170900
cifrar_tabla_(asimetrico),175300
verificacion,172700
firma,314100
cifrar_tabla_(simetrico),215300
cifrar_tabla_(asimetrico),218600
verificacion,273500
firma,531400
cifrar_tabla_(simetrico),128800
cifrar_tabla_(asimetrico),120600
verificacion,125900
firma,322900
cifrar_tabla_(simetrico),158700
cifrar_tabla_(asimetrico),143500
verificacion,127700
firma,275800
cifrar_tabla_(simetrico),99900
cifrar_tabla_(asimetrico),97400
verificacion,714900
firma,289900
cifrar_tabla_(simetrico),142800
cifrar_tabla_(asimetrico),138800
verificacion,267900
firma,305200
cifrar_tabla_(simetrico),123800
cifrar_tabla_(asimetrico),77500
verificacion,112600
firma,270500
cifrar_tabla_(simetrico),105200
cifrar_tabla_(asimetrico),114200
verificacion,123800
firma,492400
cifrar_tabla_(simetrico),123000
cifrar_tabla_(asimetrico),109300
verificacion,125500
firma,286900
cifrar_tabla_(simetrico),105900
cifrar_tabla_(asimetrico),95400
verificacion,132100
firma,260300
cifrar_tabla_(simetrico),180900
cifrar_tabla_(asimetrico),160000
verificacion,98200
firma,260700
cifrar_tabla_(simetrico),138000
cifrar_tabla_(asimetrico),110400
verificacion,83900
firma,354000
cifrar_tabla_(simetrico),158100
cifrar_tabla_(asimetrico),69800
verificacion,95200
firma,297100
cifrar_tabla_(simetrico),83000
cifrar_tabla_(asimetrico),92000
verificacion,102300
firma,273500
cifrar_tabla_(simetrico),91000
cifrar_tabla_(asimetrico),93700
verificacion,96400
firma,262200
cifrar_tabla_(simetrico),81700
cifrar_tabla_(asimetrico),103800
verificacion,156500
firma,588200
cifrar_tabla_(simetrico),109400
cifrar_tabla_(asimetrico),72000
verificacion,91200
firma,273700
cifrar_tabla_(simetrico),148900
cifrar_tabla_(asimetrico),106700
verificacion,105400
firma,268400
cifrar_tabla_(simetrico),102000
cifrar_tabla_(asimetrico),84800
verificacion,104400
firma,295300
cifrar_tabla_(simetrico),64700
cifrar_tabla_(asimetrico),84200
verificacion,116900
firma,301000
cifrar_tabla_(simetrico),79700
cifrar_tabla_(asimetrico),83300
verificacion,91900
firma,246500
cifrar_tabla_(simetrico),120800
cifrar_tabla_(asimetrico),82300
verificacion,129400
firma,296600
cifrar_tabla_(simetrico),76900
cifrar_tabla_(asimetrico),84000
verificacion,87500
firma,303900
cifrar_tabla_(simetrico),120900
cifrar_tabla_(asimetrico),57300
verificacion,92600
firma,274300
cifrar_tabla_(simetrico),86000
cifrar_tabla_(asimetrico),68200
verificacion,71800
firma,268200
cifrar_tabla_(simetrico),58400
cifrar_tabla_(asimetrico),75000
verificacion,74900
